district,block,cluster,gp,n_students,pct_mean,pct_sd,gp_id,pct_floor,pct_p90,gender_gap_pp
Bagalkote,B0008 badami,C0204 beluru,1201 belur,396,50.76,29.41,1201,10.0,90.0,6.94
Bagalkote,B0008 badami,C0204 beluru,4246 mangalur,400,40.0,26.85,4246,5.0,80.0,-1.3
Bagalkote,B0008 badami,C0568 halakurki,2327 halakurki,254,38.39,24.7,2327,5.0,75.0,0.39
Bagalkote,B0008 badami,C0568 halakurki,3546 kendur,431,73.05,21.82,3546,40.0,95.0,6.8
Bagalkote,B0008 badami,C0568 halakurki,510 adagal,740,73.3,21.71,510,40.0,95.0,0.46
Bagalkote,B0008 badami,C0578 haligeri,213009165 haligeri,352,58.49,22.9,213009165,30.0,90.0,3.54
Bagalkote,B0008 badami,C0578 haligeri,3215 kainakatti,83,53.25,28.66,3215,11.0,89.0,4.12
Bagalkote,B0008 badami,C0600 hansanur,2427 hansnoor,327,53.56,26.68,2427,15.0,85.0,3.01
Bagalkote,B0008 badami,C0600 hansanur,3531 kelawadi,271,40.94,22.48,3531,10.0,75.0,-0.39
Bagalkote,B0008 badami,C0634 hebballi,3631 kittali,312,59.41,23.99,3631,25.0,90.0,0.81
Bagalkote,B0008 badami,C0634 hebballi,6294 hebballi,285,71.91,20.61,6294,45.0,95.0,4.97
Bagalkote,B0008 badami,C0634 hebballi,633 alur sk,377,56.49,27.16,633,15.0,90.0,8.12
Bagalkote,B0008 badami,C0708 housur,3025 jalihal,236,48.96,30.32,3025,5.0,90.0,6.2
Bagalkote,B0008 badami,C0911 katageri,2420 hangaragi,361,45.83,25.01,2420,15.0,80.0,6.73
Bagalkote,B0008 badami,C0911 katageri,3038 jammanakatti,309,62.56,25.71,3038,25.0,90.0,7.62
Bagalkote,B0008 badami,C0911 katageri,3479 katageri,363,62.7,24.45,3479,26.0,90.0,-1.22
Bagalkote,B0008 badami,C1960 cholachagudda,1670 cholachagudda,513,62.6,24.52,1670,21.0,85.0,2.53
Bagalkote,B0008 badami,C1960 cholachagudda,213009333 kataraki,320,85.64,15.28,213009333,65.0,100.0,-0.34
Bagalkote,B0008 badami,C2189 inam hullikeri,2853 hullikeri inam,491,53.08,27.65,2853,15.0,90.0,3.75
Bagalkote,B0008 badami,C2228 kagalgomba,2764 hoolageri,419,74.83,21.94,2764,45.0,95.0,-2.91
Bagalkote,B0008 badami,C2228 kagalgomba,5534 sulikeri,335,55.64,23.23,5534,22.0,85.0,1.73
Bagalkote,B0008 badami,C2335 kulageri cross,213009605 narsapura,139,30.58,23.55,213009605,0.0,70.0,3.95
Bagalkote,B0008 badami,C2335 kulageri cross,3221 kakanur,253,81.34,23.28,3221,55.0,100.0,3.04
Bagalkote,B0008 badami,C2335 kulageri cross,3590 khanapur sk,242,40.1,24.64,3590,10.0,75.0,-1.0
Bagalkote,B0008 badami,C2358 layadagundi,2313 haladur,456,85.56,13.37,2313,70.0,100.0,0.05
Bagalkote,B0008 badami,C2358 layadagundi,4011 layadagundi,437,81.14,11.99,4011,65.0,95.0,0.68
Bagalkote,B0008 badami,C2358 layadagundi,4655 nagaral sp,243,71.23,16.93,4655,50.0,90.0,-1.12
Bagalkote,B0008 badami,C2460 muttalageri,4584 mustigeri,365,70.23,16.88,4584,47.0,90.0,3.74
Bagalkote,B0008 badami,C2460 muttalageri,4597 muttalageri,676,78.54,13.75,4597,65.0,95.0,2.36
Bagalkote,B0008 badami,C2487 nandikeswara,4240 mangalagudda,241,50.15,27.24,4240,10.0,85.0,-0.06
Bagalkote,B0008 badami,C2487 nandikeswara,4721 nandikeshwar,392,71.52,14.38,4721,50.5,90.0,2.26
Bagalkote,B0008 badami,C2487 nandikeswara,4973 pattadakall,284,50.67,26.53,4973,10.0,85.0,5.92
Bagalkote,B0008 badami,C2495 narenur,1994 fakirbudihal,300,46.83,23.94,1994,10.0,80.0,0.2
Bagalkote,B0008 badami,C2495 narenur,3215 kainakatti,109,51.61,29.52,3215,15.0,90.0,-7.56
Bagalkote,B0008 badami,C2500 neelagund,4210 mamtageri,402,55.62,29.84,4210,15.0,95.0,-3.99
Bagalkote,B0008 badami,C2500 neelagund,4778 neelagund,349,64.43,24.62,4778,25.0,95.0,1.64
Bagalkote,B0008 badami,C2501 neerabudhihal,4783 neerbudihal,415,58.69,22.31,4783,25.0,85.0,1.84
Bagalkote,B0008 badami,C2501 neerabudhihal,695 anawal,500,63.48,22.38,695,35.0,95.0,-3.44
Bagalkote,B0008 badami,C2851 housur,6503 hosur,286,34.93,26.62,6503,5.0,75.0,10.3
Bagalkote,B0008 badami,C2878 kotikal,213009602 hanapur sp,109,48.3,24.62,213009602,15.0,81.0,-6.06
Bagalkote,B0008 badami,C2878 kotikal,3802 kotikal,252,63.79,24.87,3802,25.0,95.0,0.02
Bagalkote,B0008 badami,C2878 kotikal,4965 parvati,263,62.91,22.29,4965,30.0,90.0,7.42
Bagalkote,B0009 bagalkot,C0215 bevoor,1254 bevoor,401,71.51,18.88,1254,45.0,95.0,0.45
Bagalkote,B0009 bagalkot,C0215 bevoor,5776 timmapur,357,80.25,15.77,5776,60.0,100.0,3.74
Bagalkote,B0009 bagalkot,C0217 bhagavati,1216 benakatti,480,79.52,20.56,1216,45.0,100.0,1.39
Bagalkote,B0009 bagalkot,C0217 bhagavati,1260 bhagavati,425,84.32,14.25,1260,65.0,100.0,3.25
Bagalkote,B0009 bagalkot,C0217 bhagavati,2363 hallur,299,67.32,23.0,2363,35.0,95.0,3.49
Bagalkote,B0009 bagalkot,C0578 haligeri,4785 neeralakeri,455,69.19,27.54,4785,25.0,100.0,5.67
Bagalkote,B0009 bagalkot,C0826 kadampur,3166 kadampur,246,73.76,18.97,3166,50.0,95.0,1.82
Bagalkote,B0009 bagalkot,C1219 mugalolli,1253 bevinamatti,457,79.35,19.39,1253,50.0,100.0,1.82
Bagalkote,B0009 bagalkot,C1219 mugalolli,4526 mugalolli,200,71.25,20.11,4526,45.0,95.5,0.28
Bagalkote,B0009 bagalkot,C1516 sitimani r s,1597 chikkamyageri,58,66.9,28.19,1597,25.0,95.0,7.45
Bagalkote,B0009 bagalkot,C1516 sitimani r s,5085 rampur,508,84.65,14.92,5085,65.0,100.0,1.5
Bagalkote,B0009 bagalkot,C1875 bennur,1350 bilkerur,187,76.39,18.56,1350,50.0,95.0,7.42
Bagalkote,B0009 bagalkot,C1875 bennur,3188 kadlimatti,382,69.36,25.12,3188,30.0,95.0,-0.19
Bagalkote,B0009 bagalkot,C1875 bennur,6222 bennuru,300,54.38,28.14,6222,14.5,90.0,1.58
Bagalkote,B0009 bagalkot,C2019 gaddanakeri,2012 gaddanakeri,268,57.26,23.0,2012,25.0,85.0,7.61
Bagalkote,B0009 bagalkot,C2019 gaddanakeri,4571 muranal,255,74.88,18.29,4571,50.0,95.0,3.42
Bagalkote,B0009 bagalkot,C2019 gaddanakeri,5411 simikeri,204,63.43,24.59,5411,35.0,95.0,0.97
Bagalkote,B0009 bagalkot,C2050 gulabal,2630 hiregulbal,270,87.43,11.31,2630,75.0,100.0,0.57
Bagalkote,B0009 bagalkot,C2234 kaladagi,3230 kaladagi,455,58.41,23.73,3230,25.0,85.0,-5.79
Bagalkote,B0009 bagalkot,C2234 kaladagi,3586 khajjadoni,303,46.68,26.02,3586,15.0,85.0,7.21
Bagalkote,B0009 bagalkot,C2479 nainegali,6503 hosur,101,88.42,14.23,6503,75.0,100.0,1.69
Bagalkote,B0009 bagalkot,C2612 shirur,5336 shikkeri,265,83.91,11.3,5336,70.0,100.0,-1.2
Bagalkote,B0009 bagalkot,C2655 sutagundar,1597 chikkamyageri,140,75.21,18.02,1597,55.0,95.0,-1.7
Bagalkote,B0009 bagalkot,C2655 sutagundar,5565 sutagundar,139,64.68,25.05,5565,30.0,95.0,4.05
Bagalkote,B0009 bagalkot,C2695 tulasigeri,1607 chikkasellikeri,280,64.41,28.54,1607,15.0,95.0,2.74
Bagalkote,B0009 bagalkot,C2695 tulasigeri,1780 devanal,268,44.35,27.1,1780,10.0,85.0,-2.33
Bagalkote,B0009 bagalkot,C2695 tulasigeri,5823 tulasigeri,240,67.77,24.01,5823,30.0,95.0,7.31
Bagalkote,B0009 bagalkot,C2752 yadahalli-(bgk),213009332 yadahalli,323,62.03,21.36,213009332,31.0,85.0,1.46
Bagalkote,B0009 bagalkot,C2903 nainegali,213009604 hosur,83,85.12,14.82,213009604,65.0,100.0,-2.43
Bagalkote,B0009 bagalkot,C2903 nainegali,4774 nayanegali,222,73.31,21.22,4774,40.5,95.0,0.2
Bagalkote,B0021 bilagi,C0884 kandagal,2101 girisagar,460,58.85,25.88,2101,20.0,90.0,4.48
Bagalkote,B0021 bilagi,C0884 kandagal,2568 heggur,249,62.43,27.09,2568,20.0,95.0,-0.78
Bagalkote,B0021 bilagi,C0884 kandagal,3359 kandagal,236,42.92,26.6,3359,7.5,80.0,4.37
Bagalkote,B0021 bilagi,C0884 kandagal,899 badagandi,303,71.7,18.81,899,45.0,95.0,7.56
Bagalkote,B0021 bilagi,C1031 kundargi,3042 janamatti,268,63.96,21.22,3042,35.0,90.0,-2.21
Bagalkote,B0021 bilagi,C1031 kundargi,3890 kundaragi,174,51.93,26.1,3890,15.0,85.0,-5.23
Bagalkote,B0021 bilagi,C1031 kundargi,759 arakeri,463,50.05,26.87,759,11.0,85.0,10.7
Bagalkote,B0021 bilagi,C1501 siddapur,4654 nagaral,606,54.48,27.33,4654,12.5,90.0,6.96
Bagalkote,B0021 bilagi,C1501 siddapur,5474 sonna,350,65.7,24.74,5474,30.0,95.0,9.52
Bagalkote,B0021 bilagi,C1501 siddapur,6311 siddapura,509,45.45,25.61,6311,10.0,80.0,-5.58
Bagalkote,B0021 bilagi,C1543 sunag,5543 sunag,758,50.34,27.28,5543,15.0,85.0,6.27
Bagalkote,B0021 bilagi,C1711 yadahalli,6040 yadahalli,397,44.29,27.94,6040,5.0,85.0,1.44
Bagalkote,B0021 bilagi,C1711 yadahalli,901 badagi,192,76.54,17.89,901,50.0,95.0,7.39
Bagalkote,B0021 bilagi,C1786 anagwadi,1410 budihal sa,240,71.02,20.42,1410,45.0,95.0,7.49
Bagalkote,B0021 bilagi,C1786 anagwadi,2592 herkal,364,71.13,19.49,2592,46.5,90.0,2.18
Bagalkote,B0021 bilagi,C1786 anagwadi,678 anagawadi,355,77.68,20.09,678,50.0,95.0,0.68
Bagalkote,B0021 bilagi,C2023 galagali,2026 galagali,305,63.67,28.06,2026,20.0,100.0,3.07
Bagalkote,B0021 bilagi,C2023 galagali,3713 kolur (k),286,53.83,25.24,3713,15.0,90.0,0.99
Bagalkote,B0021 bilagi,C2276 kataraki,1586 chikkalagundi,308,58.12,27.73,1586,10.0,90.0,9.45
Bagalkote,B0021 bilagi,C2276 kataraki,3483 kataraki,424,49.25,23.54,3483,20.0,80.0,2.92
Bagalkote,B0021 bilagi,C2409 manniker,2760 honnihal,216,45.58,25.6,2760,10.0,80.0,7.54
Bagalkote,B0021 bilagi,C2409 manniker,3783 korti,291,46.91,24.88,3783,15.0,80.0,2.66
Bagalkote,B0021 bilagi,C2668 teggi,2938 inam hanchinal,94,60.37,22.92,2938,26.5,85.0,-1.07
Bagalkote,B0021 bilagi,C2668 teggi,5653 teggi,514,51.35,28.75,5653,10.0,90.0,-0.11
Bagalkote,B0069 hunagund,C0317 chicknal,1558 chikanal,411,58.72,25.33,1558,20.0,90.0,-3.28
Bagalkote,B0069 hunagund,C0644 heremagi,1665 chittaragi,379,50.98,26.47,1665,15.0,85.0,3.64
Bagalkote,B0069 hunagund,C0644 heremagi,2658 hiremagi,337,41.88,27.47,2658,5.0,80.0,2.48
Bagalkote,B0069 hunagund,C0644 heremagi,2659 hiremalagavi,84,59.88,26.68,2659,16.5,95.0,1.66
Bagalkote,B0069 hunagund,C0644 heremagi,5063 rakkasagi,289,58.74,23.22,5063,25.0,90.0,-5.17
Bagalkote,B0069 hunagund,C0734 hungund,1145 belagal,382,40.13,25.34,1145,5.5,75.0,-0.22
Bagalkote,B0069 hunagund,C0734 hungund,2061 ganjihal,295,50.83,21.66,2061,22.0,85.0,-0.74
Bagalkote,B0069 hunagund,C0734 hungund,3826 kudal-sangam,190,65.92,24.37,3826,34.5,95.0,-10.5
Bagalkote,B0069 hunagund,C0743 ilkal middle,1620 chikodagali,480,78.76,19.76,1620,50.0,100.0,1.72
Bagalkote,B0069 hunagund,C0743 ilkal middle,2648 hirekodagli,329,69.26,22.74,2648,35.0,95.0,3.86
Bagalkote,B0069 hunagund,C0744 ilkal west,955 balakundi,445,76.56,17.15,955,55.0,95.0,4.23
Bagalkote,B0069 hunagund,C1008 kudal sangam,213009599 bisaladinni,107,54.63,26.58,213009599,15.0,85.0,16.19
Bagalkote,B0069 hunagund,C1264 nagur,2618 hirebadawadagi,103,85.87,14.36,2618,70.0,100.0,-0.41
Bagalkote,B0069 hunagund,C1264 nagur,4680 nagur,260,73.94,17.36,4680,50.0,90.0,7.38
Bagalkote,B0069 hunagund,C1769 aihole,2904 huvinahalli,325,65.31,22.42,2904,35.0,90.0,1.79
Bagalkote,B0069 hunagund,C1769 aihole,561 aihole,344,76.54,19.47,561,50.0,100.0,7.11
Bagalkote,B0069 hunagund,C1897 bingawadagi,1358 binjawadagi,288,46.53,25.51,1358,10.0,80.0,-1.59
Bagalkote,B0069 hunagund,C1897 bingawadagi,2618 hirebadawadagi,87,91.61,11.25,2618,78.0,100.0,-0.18
Bagalkote,B0069 hunagund,C1897 bingawadagi,643 amarawati,277,38.39,25.58,643,8.0,75.0,5.38
Bagalkote,B0069 hunagund,C1907 budihal s k,1411 budihal sk,270,43.7,25.63,1411,5.0,80.0,4.02
Bagalkote,B0069 hunagund,C1989 dhannur,1823 dhannur,276,27.5,24.62,1823,0.0,62.5,2.37
Bagalkote,B0069 hunagund,C1989 dhannur,213009597 havaragi,106,56.51,26.77,213009597,15.0,87.5,8.99
Bagalkote,B0069 hunagund,C1989 dhannur,4332 marol,246,62.5,23.56,4332,30.0,90.0,3.67
Bagalkote,B0069 hunagund,C2049 gudur,2215 gudur sc,331,82.69,16.05,2215,60.0,100.0,17.75
Bagalkote,B0069 hunagund,C2049 gudur,4568 muradi,200,57.38,26.61,4568,20.0,90.0,-7.74
Bagalkote,B0069 hunagund,C2049 gudur,5932 vadageri,156,54.42,17.26,5932,35.0,80.0,-7.7
Bagalkote,B0069 hunagund,C2138 hiresingangutti,2678 hiresinganagutti,403,53.52,27.11,2678,15.0,90.0,4.22
Bagalkote,B0069 hunagund,C2254 kandgall,213009401 kandagal,310,67.89,25.46,213009401,30.0,95.0,2.29
Bagalkote,B0069 hunagund,C2254 kandgall,2674 hireotageri,318,66.79,23.84,2674,33.5,95.0,-1.39
Bagalkote,B0069 hunagund,C2264 karadi,3421 karadi,178,37.67,26.95,3421,5.0,80.0,-4.01
Bagalkote,B0069 hunagund,C2447 muganur,4528 muganur,412,43.08,27.42,4528,10.0,80.0,4.28
Bagalkote,B0069 hunagund,C2484 nandawadagi,4708 nandawadagi,492,77.01,19.99,4708,50.0,100.0,-7.9
Bagalkote,B0069 hunagund,C2647 sulibhavi,3534 kelur,348,33.53,26.9,3534,0.0,71.5,-4.65
Bagalkote,B0069 hunagund,C2647 sulibhavi,6367 sulebhavi,345,62.2,28.67,6367,15.0,95.0,5.09
Bagalkote,B0069 hunagund,C2696 tumb,3034 jambaladinni,85,72.65,19.4,3034,42.0,95.0,-0.47
Bagalkote,B0069 hunagund,C2696 tumb,6307 gorabal,156,63.88,24.13,6307,27.5,90.0,9.52
Bagalkote,B0069 hunagund,C2854 ilkal (urdu crc),3421 karadi,170,32.24,24.05,3421,5.0,65.0,4.12
Bagalkote,B0072 jamakhandi,C0729 hulyal,213009331 siddapura,301,74.22,21.11,213009331,40.0,95.0,3.3
Bagalkote,B0072 jamakhandi,C0729 hulyal,2859 hulyal,354,61.72,24.98,2859,25.0,95.0,1.61
Bagalkote,B0072 jamakhandi,C0729 hulyal,6311 siddapura,96,70.05,20.68,6311,37.5,90.0,-0.16
Bagalkote,B0072 jamakhandi,C0735 hunnur,2878 hunnur,331,71.1,21.21,2878,45.0,95.0,4.9
Bagalkote,B0072 jamakhandi,C0735 hunnur,4081 madarakandi,617,65.03,24.46,4081,30.0,95.0,2.54
Bagalkote,B0072 jamakhandi,C0779 jamakhandi west,3170 kadapatti,221,50.84,29.97,3170,5.0,90.0,10.2
Bagalkote,B0072 jamakhandi,C0985 konnur,213009603 mareguddi,41,37.93,24.82,213009603,5.0,70.0,-10.58
Bagalkote,B0072 jamakhandi,C0985 konnur,3752 konnur,350,43.99,25.61,3752,10.0,80.0,1.68
Bagalkote,B0072 jamakhandi,C1027 kunchanur,3873 kumbarhalla,587,47.65,29.6,3873,8.0,90.0,-1.32
Bagalkote,B0072 jamakhandi,C1027 kunchanur,3882 kunchanur,214,33.11,25.9,3882,5.0,70.0,-0.56
Bagalkote,B0072 jamakhandi,C1027 kunchanur,4017 linganur,263,45.61,29.33,4017,5.0,85.0,7.72
Bagalkote,B0072 jamakhandi,C1845 banahatti east,4759 navalagi,532,54.03,28.44,4759,15.0,90.0,-1.26
Bagalkote,B0072 jamakhandi,C1846 banahatti west,815 asangi,603,68.22,30.91,815,20.0,100.0,-0.83
Bagalkote,B0072 jamakhandi,C1891 bidari,1322 bidari,262,48.74,25.57,1322,15.0,80.0,4.71
Bagalkote,B0072 jamakhandi,C1950 chimmad,1630 chimmada,653,66.88,20.57,1630,40.0,90.0,4.23
Bagalkote,B0072 jamakhandi,C2022 gadyal,3394 kannolli,361,47.6,26.19,3394,15.0,85.0,-1.15
Bagalkote,B0072 jamakhandi,C2038 golabhavi,2119 golabhavi,333,52.42,27.83,2119,10.0,90.0,5.15
Bagalkote,B0072 jamakhandi,C2038 golabhavi,5252 sasalatti,120,66.83,21.99,5252,35.0,95.0,5.54
Bagalkote,B0072 jamakhandi,C2122 hipparagi,2608 hipparagi,348,40.07,25.93,2608,5.0,80.0,10.26
Bagalkote,B0072 jamakhandi,C2122 hipparagi,3865 kulhalli,344,33.91,25.47,3865,5.0,70.0,9.23
Bagalkote,B0072 jamakhandi,C2136 hirepadasalagi,1606 chikkapadasalagi,208,59.16,26.66,1606,15.0,95.0,2.82
Bagalkote,B0072 jamakhandi,C2136 hirepadasalagi,2675 hirepadasalagi,248,38.04,28.52,2675,3.5,85.0,-2.24
Bagalkote,B0072 jamakhandi,C2136 hirepadasalagi,594 alagur,202,45.69,27.39,594,10.0,85.0,3.22
Bagalkote,B0072 jamakhandi,C2386 maigur,3379 kankanawadi,201,67.84,26.18,3379,30.0,100.0,0.32
Bagalkote,B0072 jamakhandi,C2386 maigur,4129 maigur,230,54.24,24.86,4129,15.0,85.0,2.41
Bagalkote,B0072 jamakhandi,C2386 maigur,4604 muttur,287,78.8,15.82,4604,55.0,95.0,5.18
Bagalkote,B0072 jamakhandi,C2553 rampur,213009601 yallatti,72,39.03,26.51,213009601,5.0,79.5,12.3
Bagalkote,B0072 jamakhandi,C2553 rampur,3002 jagadal,383,43.71,27.12,3002,10.0,84.0,-0.76
Bagalkote,B0072 jamakhandi,C2593 savalagi,3033 jambagi bk,431,56.09,29.25,3033,15.0,95.0,1.86
Bagalkote,B0072 jamakhandi,C2593 savalagi,5272 savalagi,133,45.64,26.19,5272,15.0,85.0,18.84
Bagalkote,B0072 jamakhandi,C2675 terdal east,213009342 tamadaddi,186,66.88,17.23,213009342,45.0,87.5,1.69
Bagalkote,B0072 jamakhandi,C2675 terdal east,2348 halingali,210,41.26,26.34,2348,10.0,80.0,3.44
Bagalkote,B0072 jamakhandi,C2699 tungal,5389 shurpali,221,57.31,25.9,5389,20.0,90.0,6.69
Bagalkote,B0072 jamakhandi,C2699 tungal,5832 tungal,180,54.25,27.75,5832,19.5,90.0,-1.91
Bagalkote,B0072 jamakhandi,C2826 gothe,2097 ghote,146,59.79,22.96,2097,30.0,90.0,7.69
Bagalkote,B0072 jamakhandi,C2826 gothe,213009600 kajibilagi,295,65.31,22.65,213009600,35.0,90.0,-6.94
Bagalkote,B0072 jamakhandi,C2917 rabakavi,2384 hanagandi,448,75.13,18.01,2384,50.0,95.0,4.33
Bagalkote,B0072 jamakhandi,C2938 todalbagi,213009598 adihudi,236,51.78,25.5,213009598,15.0,80.0,0.33
Bagalkote,B0072 jamakhandi,C2938 todalbagi,5790 todalabagi,222,47.59,25.75,5790,5.5,80.0,5.44
Bagalkote,B0099 mudhol,C0225 bhantanur,1272 bhantanur,382,45.56,24.93,1272,10.0,80.0,0.44
Bagalkote,B0099 mudhol,C0631 hebbal,3474 kasabajambagi,360,44.64,24.76,3474,10.0,75.0,3.27
Bagalkote,B0099 mudhol,C0631 hebbal,6666 hebbal,267,36.37,24.15,6666,5.0,70.0,1.59
Bagalkote,B0099 mudhol,C1053 lakshanatti,4000 lakshanatti,311,52.27,27.53,4000,10.0,85.0,2.65
Bagalkote,B0099 mudhol,C1137 mantur,2314 halagali,360,55.33,28.91,2314,15.0,95.0,3.08
Bagalkote,B0099 mudhol,C1137 mantur,4277 mantur,720,60.98,26.6,4277,20.0,95.0,1.48
Bagalkote,B0099 mudhol,C1137 mantur,4418 melligeri,196,46.81,23.77,4418,17.5,80.0,-1.31
Bagalkote,B0099 mudhol,C1218 mugalkhod,4525 mugalkhod,427,43.14,25.41,4525,10.0,80.0,1.21
Bagalkote,B0099 mudhol,C1427 saidapur,3570 kesarakoppa,380,32.01,24.41,3570,5.0,65.5,2.17
Bagalkote,B0099 mudhol,C1427 saidapur,5154 saidapur,119,41.13,27.97,5154,5.0,80.0,-1.32
Bagalkote,B0099 mudhol,C1490 shirol,5362 shirol,224,47.54,28.39,5362,10.0,88.5,8.12
Bagalkote,B0099 mudhol,C1679 uttur,5926 uttur,182,44.37,26.78,5926,10.0,84.5,5.5
Bagalkote,B0099 mudhol,C1679 uttur,5971 vantagodi,376,54.28,26.2,5971,15.0,85.0,-5.31
Bagalkote,B0099 mudhol,C1935 chichkhandi k d,1636 chinchakandi,131,64.5,22.25,1636,35.0,90.0,0.02
Bagalkote,B0099 mudhol,C1935 chichkhandi k d,2221 gulagal jambagi,114,53.68,24.29,2221,20.0,85.0,4.72
Bagalkote,B0099 mudhol,C1935 chichkhandi k d,4432 metagudda,412,57.42,25.2,4432,20.0,90.0,5.69
Bagalkote,B0099 mudhol,C2361 lokapur,1719 dadanatti,298,43.02,28.26,1719,10.0,85.0,4.16
Bagalkote,B0099 mudhol,C2368 machakanur,4049 machakanur,397,33.64,24.76,4049,5.0,70.0,2.46
Bagalkote,B0099 mudhol,C2371 madabhavi,4054 madabhavi,244,39.12,25.07,4054,5.0,75.0,-5.14
Bagalkote,B0099 mudhol,C2384 mahalingapur mps,1834 dhavaleshwar,119,39.24,27.03,1834,4.0,80.0,-2.8
Bagalkote,B0099 mudhol,C2384 mahalingapur mps,213009334 nagaral,497,43.01,27.16,213009334,5.0,80.0,4.79
Bagalkote,B0099 mudhol,C2384 mahalingapur mps,4703 nandagaon,181,66.55,22.44,4703,30.0,90.0,11.38
Bagalkote,B0099 mudhol,C2637 soragaon,3860 kulali,314,58.01,26.55,3860,20.0,95.0,1.97
Bagalkote,B0099 mudhol,C2637 soragaon,4155 malali,69,50.22,22.87,4155,20.0,80.0,-0.15
Bagalkote,B0099 mudhol,C2637 soragaon,5487 soragaon,282,72.43,16.55,5487,50.0,90.0,2.74
Bagalkote,B0099 mudhol,C2723 urdu mudhol,6247 baragi,99,50.35,24.79,6247,19.0,85.0,4.19
Bagalkote,B0099 mudhol,C2751 yadahalli ingalagi,5949 vajjaramatti,228,35.64,26.39,5949,5.0,75.0,3.55
Bagalkote,B0099 mudhol,C2751 yadahalli ingalagi,6247 baragi,128,55.0,23.82,6247,23.5,86.5,0.79
Bagalkote,B0099 mudhol,C2751 yadahalli ingalagi,6339 ingalagi,422,54.05,26.38,6339,15.0,89.5,0.78
Ballari,B0012 ballari east,C0062 andral,1991 etthinabudhihal,635,39.35,27.97,1991,5.0,85.0,-1.7
Ballari,B0012 ballari east,C0145 banapura,1078 basarakodu,486,26.91,23.15,1078,0.0,60.0,6.14
Ballari,B0012 ballari east,C0145 banapura,5968 vanenoor,485,32.07,23.46,5968,5.0,65.0,3.79
Ballari,B0012 ballari east,C0145 banapura,6153 yerragudi,112,47.37,30.58,6153,5.0,90.0,0.49
Ballari,B0012 ballari east,C0374 dammur,1482 chanalu,384,46.52,26.85,1482,10.0,80.0,0.24
Ballari,B0012 ballari east,C0374 dammur,1729 dammur,447,31.39,24.06,1729,0.0,65.0,-1.7
Ballari,B0012 ballari east,C0374 dammur,5417 sindigeri,433,45.98,26.35,5417,10.0,85.0,5.63
Ballari,B0012 ballari east,C0567 halakundi,2326 halakundhi,617,27.12,24.88,2326,0.0,65.0,4.63
Ballari,B0012 ballari east,C0567 halakundi,5210 sanjeevarayanakote,657,28.99,24.57,5210,0.0,70.0,4.46
Ballari,B0012 ballari east,C0991 korlagundi,2406 handhihal,462,77.02,17.03,2406,55.0,95.0,1.75
Ballari,B0012 ballari east,C0991 korlagundi,3779 korlagundhi,593,68.41,21.87,3779,40.0,95.0,5.72
Ballari,B0012 ballari east,C0991 korlagundi,5500 sridharagadda,597,68.48,24.84,5500,30.0,95.0,5.43
Ballari,B0012 ballari east,C1191 moka,4043 m.gonal,523,34.36,26.44,4043,5.0,75.0,4.37
Ballari,B0012 ballari east,C1191 moka,4461 moka,580,48.4,27.13,4461,10.0,85.0,7.24
Ballari,B0012 ballari east,C1191 moka,6153 yerragudi,216,31.81,24.88,6153,0.0,65.0,4.83
Ballari,B0012 ballari east,C1352 patelanagar bellary,642 amarapura,495,38.99,25.87,642,5.0,75.0,5.4
Ballari,B0012 ballari east,C1415 rupanagudi,1474 challagurki,450,31.9,26.43,1474,0.0,70.0,3.25
Ballari,B0012 ballari east,C1415 rupanagudi,5136 rupanagudi,645,21.34,20.29,5136,0.0,55.0,0.39
Ballari,B0012 ballari east,C1415 rupanagudi,5213 sankarabanda,358,23.11,20.45,5213,0.0,50.0,0.05
Ballari,B0012 ballari east,C1504 sidiginamola,3445 karekallu,369,24.08,21.8,3445,0.0,60.0,5.47
Ballari,B0012 ballari east,C1504 sidiginamola,4956 paramadevanahalli,364,54.11,28.73,4956,15.0,90.0,-1.02
Ballari,B0012 ballari east,C1504 sidiginamola,5406 sidiginamola,394,34.02,32.17,5406,0.0,85.0,9.4
Ballari,B0012 ballari east,C1510 sirivara,1450 byradevanahalli,431,43.76,28.65,1450,5.0,85.0,3.3
Ballari,B0012 ballari east,C1510 sirivara,3413 kappagal,446,69.85,21.48,3413,35.0,90.0,8.82
Ballari,B0012 ballari east,C1510 sirivara,5200 sanganakallu,600,70.88,19.69,5200,45.0,95.0,2.03
Ballari,B0012 ballari east,C1510 sirivara,5437 sirivara,602,60.32,21.54,5437,30.0,85.0,3.97
Ballari,B0012 ballari east,C1580 telugu ballari east,5213 sankarabanda,175,53.34,24.29,5213,22.0,85.0,4.1
Ballari,B0012 ballari east,C1655 urdu ballari east,3413 kappagal,208,71.35,18.44,3413,45.0,90.0,0.26
Ballari,B0013 ballari west,C0151 bandihatti bellary,1148 belagallu,607,44.09,26.66,1148,10.0,80.0,-0.45
Ballari,B0013 ballari west,C0458 emmiganur,1986 emmiganur,334,48.79,25.59,1986,11.5,80.0,3.0
Ballari,B0013 ballari west,C0458 emmiganur,4805 nelludi,294,41.8,31.44,4805,0.0,85.0,-4.05
Ballari,B0013 ballari west,C0496 genikehal,2085 genakihal,468,38.89,25.01,2085,5.0,75.0,-1.84
Ballari,B0013 ballari west,C0496 genikehal,907 badanahatti,661,35.17,28.35,907,0.0,80.0,4.12
